Time,DWPC,HCLD,LCLD,MCLD,PRCP,PRES,TMPC,UWND,VWND,WSPD
2010-01-02,-13.74,0.0,100.0,1.0,0.04,1002.0,-11.26,4.9,-4.0,7.323933369440223
2010-01-03,-14.21,42.0,7.0,1.0,0.0,1001.8,-10.16,3.6,-2.5,4.6872166581031856
2010-01-04,-12.63,95.0,99.0,91.0,0.03,999.8,-9.96,4.4,-3.5,5.941380311005179
2010-01-05,-10.75,97.0,101.0,96.0,0.03,997.3,-8.46,4.6,-2.7,5.685068161420759
2010-01-06,-9.45,90.0,100.0,100.0,0.05,996.0,-7.16,3.6,0.1,3.7947331922020555
2010-01-07,-6.13,100.0,100.0,100.0,2.06,992.5,-5.46,5.3,2.4,6.888396039717811
2010-01-08,-4.15,34.0,100.0,6.0,0.63,1000.0,-3.46,6.9,-2.0,9.548298277703731
2010-01-09,-10.81,6.0,100.0,0.0,0.02,1004.9,-8.56,2.9,-2.4,4.441846462902562
2010-01-10,-9.09,80.0,3.0,62.0,0.0,1005.7,-7.26,4.3,5.7,6.8249542123006215
2010-01-11,-4.06,100.0,100.0,100.0,0.32,999.4,-2.86,5.8,5.2,7.424957912338629
2010-01-12,-5.01,71.0,100.0,2.0,0.08,1003.8,-3.86,3.6,2.2,6.161168720299744
2010-01-13,-1.05,8.0,0.0,0.0,0.0,1000.3,0.34,3.3,5.8,6.673080248281149
2010-01-14,1.07,95.0,100.0,1.0,0.22,993.5,1.24,2.8,5.2,5.813776741499454
2010-01-15,1.28,76.0,101.0,2.0,0.2,997.9,1.64,3.0,0.9,3.132091952673165
2010-01-16,-0.05,100.0,20.0,3.0,0.0,998.0,2.54,1.8,2.0,2.4413111231467406
2010-01-17,-1.39,100.0,2.0,96.0,0.0,987.1,2.44,2.6,-0.3,3.4132096331752027
2010-01-18,0.14,100.0,2.0,100.0,0.17,988.9,2.34,3.4,1.1,3.4525353003264136
2010-01-19,-1.8,74.0,4.0,86.0,0.02,988.6,1.44,0.6,-1.5,3.623534186398688
2010-01-20,0.79,100.0,100.0,100.0,2.32,987.9,1.04,-3.5,1.9,7.66550715869472
2010-01-21,2.04,100.0,100.0,100.0,2.02,981.1,2.54,-5.6,1.1,8.367197858303577
2010-01-22,1.38,99.0,100.0,100.0,0.11,984.4,2.24,-0.8,0.8,5.830951894845301
2010-01-23,6.94,100.0,100.0,100.0,0.39,985.4,7.84,-2.3,7.6,8.883692925805123
2010-01-24,6.46,100.0,100.0,100.0,15.16,970.7,7.34,7.8,9.9,12.182774724995944
2010-01-25,-2.03,34.0,100.0,100.0,0.76,975.6,-0.06,9.7,3.1,9.865596788841513
2010-01-26,-6.69,47.0,100.0,100.0,0.43,992.0,-4.46,9.5,0.2,9.502105029939418
2010-01-27,-3.81,97.0,101.0,100.0,0.08,995.3,-0.66,5.5,3.7,5.5
2010-01-28,-4.29,100.0,86.0,21.0,0.0,1004.2,-2.66,5.9,-2.3,6.96419413859206
2010-01-29,-10.81,100.0,1.0,101.0,0.0,1003.8,-8.06,-0.4,-1.6,5.5901699437494745
2010-01-30,-10.09,100.0,10.0,100.0,0.0,996.9,-4.46,-0.8,-0.6,5.517245689653488
2010-01-31,-7.22,0.0,49.0,24.0,0.0,997.0,-1.86,4.4,0.7,4.491102314577124
2010-02-01,-4.45,100.0,69.0,100.0,0.01,997.8,0.24,0.4,3.5,3.6400549446402586
2010-02-02,-0.97,37.0,100.0,100.0,0.14,992.4,1.24,4.2,3.5,4.477722635447623
2010-02-03,-3.75,94.0,100.0,0.0,0.1,1000.3,0.54,4.7,-0.7,4.99799959983992
2010-02-04,-1.93,100.0,16.0,101.0,0.8,1000.6,-0.06,-2.2,1.4,5.4083269131959835
2010-02-05,-0.04,100.0,100.0,100.0,2.64,991.3,0.44,-4.5,-0.5,8.275868534480232
2010-02-06,-1.87,100.0,100.0,100.0,0.4,994.5,-1.06,-0.7,-3.0,10.218121158021177
2010-02-07,-6.38,66.0,15.0,96.0,0.0,994.5,-3.16,-1.1,0.3,2.8160255680657444
2010-02-08,-4.68,100.0,97.0,100.0,0.33,994.9,-2.96,-1.7,2.3,5.008991914547277
2010-02-09,-4.19,100.0,100.0,100.0,1.7,988.3,-3.46,5.5,0.7,9.544108130150248
2010-02-10,-5.03,0.0,100.0,98.0,0.66,994.5,-4.16,7.7,-3.3,10.818964830333817
2010-02-11,-4.56,15.0,100.0,4.0,0.03,994.6,-2.46,3.2,-0.5,4.031128874149275
2010-02-12,-6.22,4.0,94.0,93.0,0.04,992.1,-3.56,0.7,1.7,3.178049716414141
2010-02-13,-5.12,30.0,52.0,2.0,0.0,988.9,-2.76,2.5,-1.9,3.4132096331752027
2010-02-14,-4.66,69.0,90.0,100.0,0.0,986.7,-2.06,0.8,-1.4,4.373785545725808
2010-02-15,-5.94,99.0,100.0,100.0,0.55,984.2,-4.16,4.1,-2.7,7.357309290766564
2010-02-16,-2.99,2.0,100.0,90.0,0.28,986.1,-1.86,6.0,-2.5,7.102112361825881
2010-02-17,-3.92,39.0,100.0,0.0,0.18,988.4,-2.46,4.3,-2.5,5.374011537017761
2010-02-18,-0.08,1.0,100.0,0.0,0.09,991.1,0.84,4.5,-1.4,4.846648326421054
2010-02-19,-0.49,100.0,96.0,101.0,0.56,993.5,0.94,3.1,2.5,3.2572994949804666
2010-02-20,0.99,100.0,101.0,100.0,0.26,993.4,1.44,0.4,3.9,4.110960958218893
2010-02-21,0.8,101.0,100.0,100.0,5.22,990.5,1.04,-0.3,1.4,5.300943312279429
2010-02-22,1.14,100.0,100.0,100.0,1.01,982.4,1.34,4.3,1.3,7.463243262818115
2010-02-23,-0.42,79.0,100.0,99.0,0.59,987.1,1.24,4.2,-1.1,4.661544808322667
2010-02-24,-3.48,55.0,100.0,70.0,0.43,990.1,-2.36,5.3,-1.7,8.472307831990053
2010-02-25,-4.21,0.0,100.0,18.0,0.37,993.0,-2.16,5.8,-4.1,7.993122043357027
2010-02-26,-5.7,10.0,57.0,1.0,0.0,992.1,-0.36,4.8,-3.0,7.150524456289903
2010-02-27,-2.9,98.0,100.0,100.0,0.52,987.6,0.24,4.3,-3.6,5.813776741499454
2010-02-28,-0.56,44.0,100.0,0.0,0.15,991.1,1.94,4.0,-2.7,5.185556864985669
2010-03-01,-1.0,100.0,101.0,38.0,0.14,993.8,1.94,0.6,-2.6,5.1009802979427405
2010-03-02,-1.74,94.0,100.0,13.0,0.17,992.4,1.24,0.1,-3.3,6.400781202322104
2010-03-03,-2.63,78.0,100.0,95.0,0.06,991.0,2.34,1.4,-3.2,5.141984052872977
2010-03-04,-2.33,0.0,97.0,0.0,0.01,995.0,4.04,1.6,-2.1,4.301162633521313
2010-03-05,-1.04,0.0,67.0,0.0,0.0,999.2,5.14,-0.5,-1.2,2.8425340807103794
2010-03-06,1.26,0.0,2.0,3.0,0.0,1001.3,8.54,0.5,3.0,3.1048349392520045
2010-03-07,4.1,11.0,100.0,100.0,2.08,997.1,5.04,2.0,6.0,6.007495318350236
2010-03-08,5.72,44.0,100.0,1.0,0.07,991.9,10.74,1.9,1.7,2.483948469674844
2010-03-09,7.69,100.0,100.0,99.0,1.51,987.3,8.74,-2.2,5.4,6.276941930590088
