Date,TMAX(C),TMIN(C),WMAX(M/s),PREC(mm}
2010-01-01,-11.11111111111111,-16.666666666666668,6.7056,0.0
2010-01-02,-14.444444444444445,-20.555555555555557,6.7056,0.0
2010-01-03,-12.222222222222221,-21.11111111111111,4.91744,0.0
2010-01-04,-11.666666666666666,-18.88888888888889,8.9408,0.0
2010-01-05,-12.222222222222221,-18.333333333333332,7.15264,0.0
2010-01-06,-7.777777777777778,-19.444444444444443,3.57632,1.5
2010-01-07,-5.555555555555555,-12.222222222222221,11.176,5.8999999999999995
2010-01-08,-7.222222222222222,-14.444444444444445,8.9408,0.0
2010-01-09,-12.777777777777779,-22.77777777777778,7.15264,0.0
2010-01-10,-7.222222222222222,-24.444444444444443,8.04672,0.0
2010-01-11,-5.0,-8.88888888888889,7.15264,0.0
2010-01-12,-3.3333333333333335,-11.11111111111111,6.7056,0.0
2010-01-13,0.5555555555555556,-11.666666666666666,7.59968,0.0
2010-01-14,2.7777777777777777,-3.888888888888889,6.7056,0.0
2010-01-15,1.6666666666666667,-1.1111111111111112,3.57632,0.0
2010-01-16,0.5555555555555556,-2.2222222222222223,3.57632,0.0
2010-01-17,0.0,-2.7777777777777777,7.15264,0.0
2010-01-18,1.1111111111111112,0.0,4.91744,0.0
2010-01-19,0.0,-2.7777777777777777,6.7056,0.0
2010-01-20,0.0,-2.7777777777777777,9.83488,1.6
2010-01-21,1.1111111111111112,0.0,9.38784,6.1
2010-01-22,2.2222222222222223,0.0,7.59968,0.0
2010-01-23,7.222222222222222,1.1111111111111112,9.83488,0.0
2010-01-24,8.333333333333334,-0.5555555555555556,11.176,6.699999999999999
2010-01-25,-0.5555555555555556,-6.111111111111111,12.51712,0.0
2010-01-26,-6.666666666666667,-10.555555555555555,12.51712,0.0
2010-01-27,-1.1111111111111112,-10.555555555555555,7.15264,1.4000000000000001
2010-01-28,-6.111111111111111,-13.88888888888889,7.59968,0.0
2010-01-29,-7.777777777777778,-12.777777777777779,7.15264,0.0
2010-01-30,-5.0,-11.666666666666666,8.04672,0.0
2010-01-31,-2.7777777777777777,-15.0,4.91744,0.0
2010-02-01,1.1111111111111112,-10.555555555555555,4.02336,0.0
2010-02-02,1.1111111111111112,-6.111111111111111,7.15264,0.0
2010-02-03,-2.2222222222222223,-7.222222222222222,6.25856,0.0
2010-02-04,1.6666666666666667,-5.555555555555555,4.91744,0.0
2010-02-05,0.5555555555555556,-1.1111111111111112,13.85824,5.199999999999999
2010-02-06,-0.5555555555555556,-7.777777777777778,14.75232,0.0
2010-02-07,-3.3333333333333335,-10.0,3.57632,0.0
2010-02-08,-2.7777777777777777,-10.555555555555555,5.81152,0.8
2010-02-09,-5.0,-12.222222222222221,11.62304,3.1999999999999993
2010-02-10,-3.888888888888889,-13.333333333333334,12.51712,0.0
2010-02-11,-6.111111111111111,-17.77777777777778,3.57632,0.0
2010-02-12,-3.3333333333333335,-13.333333333333334,3.57632,0.0
2010-02-13,-3.3333333333333335,-15.555555555555555,4.91744,0.0
2010-02-14,-1.6666666666666667,-14.444444444444445,4.02336,0.8
2010-02-15,-4.444444444444445,-10.555555555555555,7.59968,0.8
2010-02-16,-1.6666666666666667,-9.444444444444445,9.38784,0.0
2010-02-17,-1.6666666666666667,-9.444444444444445,6.25856,0.0
2010-02-18,-1.6666666666666667,-12.777777777777779,5.81152,0.0
2010-02-19,0.5555555555555556,-13.333333333333334,3.57632,0.3
2010-02-20,2.7777777777777777,-1.1111111111111112,5.81152,1.9000000000000001
2010-02-21,1.6666666666666667,0.5555555555555556,7.15264,11.8
2010-02-22,1.1111111111111112,-1.1111111111111112,7.59968,1.5
2010-02-23,0.0,-6.111111111111111,8.04672,0.0
2010-02-24,-6.111111111111111,-9.444444444444445,8.9408,0.0
2010-02-25,0.0,-7.777777777777778,7.15264,0.0
2010-02-26,1.1111111111111112,-8.333333333333334,9.38784,0.0
2010-02-27,0.5555555555555556,-6.111111111111111,7.15264,0.0
2010-02-28,4.444444444444445,-2.2222222222222223,6.25856,0.0
2010-03-01,3.3333333333333335,-1.1111111111111112,6.25856,0.0
2010-03-02,0.5555555555555556,-1.1111111111111112,6.25856,0.0
2010-03-03,3.888888888888889,-3.888888888888889,6.25856,0.0
2010-03-04,6.666666666666667,-6.111111111111111,6.7056,0.0
2010-03-05,7.222222222222222,-6.111111111111111,3.57632,0.0
2010-03-06,7.777777777777778,-5.0,3.57632,0.0
2010-03-07,7.222222222222222,-2.7777777777777777,6.25856,2.9
2010-03-08,7.222222222222222,-1.6666666666666667,4.4704,0.0
2010-03-09,13.88888888888889,0.0,7.15264,0.0
2010-03-10,20.555555555555557,7.222222222222222,8.9408,1.3
