Time,DWPC_max,HCLD_max,LCLD_max,MCLD_max,PRCP_max,PRES_max,TMPC_max,UWND_max,VWND_max,WSPD_max,DWPC_min,HCLD_min,LCLD_min,MCLD_min,PRCP_min,PRES_min,TMPC_min,UWND_min,VWND_min,WSPD_min,DWPC_mean,HCLD_mean,LCLD_mean,MCLD_mean,PRCP_mean,PRES_mean,TMPC_mean,UWND_mean,VWND_mean,WSPD_mean,DWPC_total,HCLD_total,LCLD_total,MCLD_total,PRCP_total,PRES_total,TMPC_total,UWND_total,VWND_total,WSPD_total
2010-01-02,-13.74,0.0,100.0,1.0,0.04,1002.0,-11.26,4.9,-4.0,7.323933369440223,-20.07,0.0,2.0,0.0,0.0,999.8,-16.06,2.1,-6.0,4.606517122512408,-17.6775,0.0,39.75,0.125,0.00625,1000.7125000000001,-14.1225,3.7625,-4.8875,6.221483959491259,-141.42,0.0,318.0,1.0,0.05,8005.700000000001,-112.98,30.1,-39.1,49.77187167593007
2010-01-03,-14.21,42.0,7.0,1.0,0.0,1001.8,-10.16,3.6,-2.5,4.6872166581031856,-18.81,0.0,0.0,0.0,0.0,999.9,-15.96,1.5,-3.9,3.3301651610693423,-16.95625,8.428571428571429,3.5,0.25,0.0,1000.8624999999998,-13.685,2.3,-3.2499999999999996,4.027715773700402,-135.65,59.0,28.0,2.0,0.0,8006.899999999999,-109.48,18.4,-25.999999999999996,32.22172618960322
2010-01-04,-12.63,95.0,99.0,91.0,0.03,999.8,-9.96,4.4,-3.5,5.941380311005179,-16.27,0.0,5.0,0.0,0.0,996.8,-14.36,2.7,-4.3,4.420407221060069,-14.5875,33.125,29.875,34.0,0.00375,998.3124999999999,-12.3975,3.8625000000000003,-3.875,5.479951492853019,-116.7,265.0,239.0,272.0,0.03,7986.499999999999,-99.18,30.900000000000002,-31.0,43.83961194282415
2010-01-05,-10.75,94.0,100.0,67.0,0.03,997.3,-8.46,4.6,-2.7,5.685068161420759,-14.64,0.0,96.0,0.0,0.0,995.6,-12.86,2.8,-3.6,4.25205832509386,-12.834999999999999,30.125,99.125,18.375,0.021249999999999998,996.4500000000002,-10.9225,3.9999999999999996,-3.2624999999999997,5.1805099345255,-102.67999999999999,241.0,793.0,147.0,0.16999999999999998,7971.600000000001,-87.38,31.999999999999996,-26.099999999999998,41.444079476204
2010-01-06,-9.45,90.0,100.0,100.0,0.05,996.0,-7.16,3.6,0.1,3.794733192202056,-12.56,0.0,1.0,0.0,0.0,992.5,-11.06,0.1,-2.0,0.14142135623730953,-11.170000000000002,28.75,73.85714285714286,30.0,0.01375,994.5625,-9.51,2.1875,-0.9124999999999999,2.4270972888913542,-89.36000000000001,230.0,517.0,240.0,0.11,7956.5,-76.08,17.5,-7.299999999999999,19.416778311130834
2010-01-07,-6.13,100.0,100.0,100.0,2.06,992.5,-5.46,5.3,2.4,6.8883960397178114,-8.48,0.0,99.0,8.0,0.0,985.7,-7.46,-0.7,-4.4,1.2206555615733703,-7.635000000000001,48.25,99.875,68.375,0.8212499999999999,987.8375,-6.7725,2.4375,-0.5375000000000001,3.742648274239209,-61.080000000000005,386.0,799.0,547.0,6.569999999999999,7902.7,-54.18,19.5,-4.300000000000001,29.941186193913673
2010-01-08,-4.15,34.0,100.0,6.0,0.63,1000.0,-3.46,5.3,-2.0,8.645229898620395,-12.09,0.0,92.0,0.0,0.0,987.6,-10.96,2.1,-7.5,4.318564576337837,-8.276250000000001,10.25,98.75,1.0,0.16625000000000004,994.225,-7.36,3.5000000000000004,-5.1375,6.401533008842406,-66.21000000000001,82.0,790.0,8.0,1.3300000000000003,7953.8,-58.88,28.000000000000004,-41.1,51.212264070739245
2010-01-09,-10.81,0.0,100.0,0.0,0.02,1004.9,-8.56,2.9,-2.4,4.441846462902562,-15.14,0.0,2.0,0.0,0.0,1001.6,-13.26,2.3,-3.8,3.324154027718932,-12.90625,0.0,57.75,0.0,0.00375,1003.0999999999999,-11.06,2.4499999999999997,-3.2,4.040605865553301,-103.25,0.0,462.0,0.0,0.03,8024.799999999999,-88.48,19.599999999999998,-25.6,32.32484692442641
2010-01-10,-9.09,80.0,3.0,62.0,0.0,1005.7,-7.26,4.3,5.7,6.8249542123006215,-17.23,0.0,0.0,0.0,0.0,997.9,-15.26,1.8,-2.1,2.7658633371878665,-13.360000000000001,12.75,0.375,8.5,0.0,1002.65,-11.535000000000002,3.3000000000000003,2.0375,4.598797951535534,-106.88000000000001,102.0,3.0,68.0,0.0,8021.2,-92.28000000000002,26.400000000000002,16.3,36.79038361228427
2010-01-11,-4.06,100.0,100.0,100.0,0.32,999.4,-2.86,5.8,5.0,6.931089380465382,-9.09,1.0,26.0,1.0,0.0,992.6,-7.86,2.1,-5.4,4.318564576337836,-6.37,62.875,90.75,69.57142857142857,0.12125000000000001,994.9749999999999,-5.385,3.6750000000000003,-1.4500000000000002,5.625177101699952,-50.96,503.0,726.0,487.0,0.9700000000000001,7959.799999999999,-43.08,29.400000000000002,-11.600000000000001,45.00141681359962
