Time,tmpc_max,dwpc_max,mslp_max,wdir_max,wspd_max,skct_max,pr1h_max,tmpc_min,dwpc_min,mslp_min,wdir_min,wspd_min,skct_min,pr1h_min,tmpc_mean,dwpc_mean,mslp_mean,wdir_mean,wspd_mean,skct_mean,pr1h_mean,tmpc_total,dwpc_total,mslp_total,wdir_total,wspd_total,skct_total,pr1h_total
2010-01-01,0.6,-0.6,1022.3,300.0,9.3,9.0,0.3,-7.8,-12.2,1014.1,200.0,2.6,0.0,0.0,-1.3166666666666667,-2.988888888888889,1016.8833333333332,260.0,5.211111111111112,6.666666666666667,0.03333333333333333,-23.7,-53.8,18303.899999999998,4680.0,93.80000000000001,120.0,0.6
2010-01-02,-11.0,-15.6,1030.2,300.0,6.7,8.0,0.0,-16.1,-18.9,1026.1,280.0,3.6,0.0,0.0,-13.621052631578944,-16.984210526315792,1028.657894736842,286.3157894736842,5.284210526315792,1.8421052631578947,0.0,-258.79999999999995,-322.70000000000005,19544.5,5440.0,100.40000000000003,35.0,0.0
2010-01-03,-14.4,-17.8,1034.4,320.0,6.7,0.0,0.0,-19.4,-21.7,1031.1,270.0,3.1,0.0,0.0,-16.789473684210527,-19.884210526315787,1032.536842105263,296.8421052631579,4.821052631578946,0.0,0.0,-319.0,-377.79999999999995,19618.199999999997,5640.0,91.59999999999998,0.0,0.0
2010-01-04,-12.2,-17.2,1033.0,350.0,5.1,0.0,0.0,-21.1,-23.9,1031.3,270.0,1.5,0.0,0.0,-16.673684210526318,-20.847368421052632,1032.173684210526,312.10526315789474,3.4631578947368427,0.0,0.0,-316.8,-396.1,19611.299999999996,5930.0,65.80000000000001,0.0,0.0
2010-01-05,-11.7,-15.6,1030.2,310.0,8.2,8.0,0.0,-18.9,-21.7,1026.9,280.0,3.6,0.0,0.0,-15.321052631578945,-18.468421052631587,1028.557894736842,293.6842105263158,5.731578947368423,1.263157894736842,0.0,-291.09999999999997,-350.90000000000015,19542.6,5580.0,108.90000000000003,24.0,0.0
2010-01-06,-12.2,-15.6,1027.6,290.0,7.2,8.0,0.0,-18.3,-21.7,1025.9,270.0,4.1,0.0,0.0,-15.436842105263159,-18.542105263157897,1026.5052631578947,275.7894736842105,5.336842105263158,2.4210526315789473,0.0,-293.3,-352.30000000000007,19503.6,5240.0,101.4,46.0,0.0
2010-01-07,-8.0,-13.0,1027.2,290.0,3.6,0.0,0.0,-19.4,-22.2,1024.1,220.0,1.5,0.0,0.0,-14.594736842105267,-17.93157894736842,1025.7052631578947,252.6315789473684,2.58421052631579,0.0,0.0,-277.30000000000007,-340.69999999999993,19488.4,4800.0,49.100000000000016,0.0,0.0
2010-01-08,-5.6,-7.2,1021.3,280.0,11.3,9.0,1.0,-12.2,-15.0,1014.4,90.0,1.5,8.0,0.0,-8.752631578947367,-10.889473684210527,1016.5117647058823,194.73684210526315,6.2,8.31578947368421,0.31052631578947365,-166.29999999999998,-206.9,17280.7,3700.0,117.8,158.0,5.8999999999999995
2010-01-09,-7.2,-10.0,1029.6,300.0,8.8,8.0,0.0,-11.7,-13.9,1018.6,260.0,6.2,2.0,0.0,-9.53684210526316,-12.331578947368419,1024.4777777777776,283.6842105263158,7.557894736842105,7.157894736842105,0.0,-181.20000000000005,-234.29999999999995,18440.6,5390.0,143.6,136.0,0.0
2010-01-10,-12.8,-16.7,1035.9,310.0,7.2,8.0,0.0,-22.8,-25.6,1031.7,280.0,2.6,0.0,0.0,-17.81578947368421,-20.821052631578947,1033.8368421052635,287.89473684210526,4.247368421052631,1.368421052631579,0.0,-338.5,-395.59999999999997,19642.900000000005,5470.0,80.69999999999999,26.0,0.0
